author,review_text,review_rating,datetime,review_link
Kartika Saridewi,"Cuaca sejuk, belanja sayuran masih segar dan murah, kuliner sate kelinci yang enak.",5,04/15/2023 14:52:12,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSa0p5bDBnRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDRkJyl0gE%7CCgwInPTqoQYQ2JeDsQM%7C?hl=id
Yohana Ratnasari,"Danaunya bersih dengan pemandangan indah.... Harga makanannya rata rata sama dan terjangkau. Tempat parkir rada jauh dari danau. Ada wisata keliling danau dengan boat, Ada harga patokannya. Tiket masuk telaga per orang 20 ribu.",4,04/15/2023 08:02:07,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSb0xIenBnRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDRoLHzpgE%7CCgwI_7PpoQYQsOyDhAM%7C?hl=id
Andry Saputro,,5,04/12/2023 20:55:27,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSMTdfTkV3EAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICR17_NEw%7CCgwIv7XcoQYQ4JaotwM%7C?hl=id
Rizky Dwi Laras,"Akses jalan menuju lokasi bagus. Daerahnya dingin, hujan sebentar².
Tarif masuk 20rb/org, dapat minuman Kalbe C1000. Sudah include Parkir mobil. Tempat parkir cukup banyak, tersebar di beberapa titik.
Banyak penjual oleh². Untuk harga makanan masih standar 15rb an juga ada, rasa lumayan.
Ada toilet umum.
Ada penyewaan bebek²an, boat dan kuda.",5,04/11/2023 16:26:12,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN1dVBxX0tBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICuuPq_KA%7CCgwIpJTWoQYQ6IaW0QM%7C?hl=id
Imas Nur Astuti,"Salah satu destinasi wisata di daerah magetan, jawa timur. Suasananya sejuk, first impression awalnya biasa saja, kesannya berubah ketika turun ke dekat telaga cantik banget viewnya. Kalau kesini cobain naik speed boat, banyak yg menawarkan jasa disini pokok cobaain seru bgt, klo kuliner khasnya sate kelinci, banyak yg menjajakan sayur sayuran. Tetap jaga kebersihan ya.",4,04/11/2023 04:18:37,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSNjVDTXF3RRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICR65CMqwE%7CCgsInb_ToQYQgJaWEg%7C?hl=id
Arin Dhita,"kelinci makan pepaya, senyumanmu buatku tak berdaya~ sarangan ninggal janjii ~~",5,04/10/2023 16:46:43,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSaV9tdFVBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRi_mtUA%7CCgwI8_rQoQYQsK2XsQI%7C?hl=id
Ahmad Elfath,,5,04/07/2023 23:48:51,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSemVQV0RBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRzePWDA%7CCgwI49fCoQYQ0PqNyAM%7C?hl=id
vino putra,,5,04/06/2023 19:15:54,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSNWJheGN3EAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICR5baxcw%7CCgwI6rS8oQYQuJL4mAI%7C?hl=id
Nurmalita Safitri,Sangat memuaskan dan memanjakan mata,5,04/06/2023 12:14:37,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSeFlMcWNBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRxYLqcA%7CCgwIre-6oQYQwMOI2AI%7C?hl=id
Ulfi Lina Nikmatillah,"Udah beberapa kali kesini, pemandangannya lumayan bikin ati adem... Pernah juga kejebak ujan disini, jadi ngemper d ruko2 pinggiran dah hahaa... Tapi asli pemandangannya bagus bgt dah kalo abis ujan.... Berkabut gitu, terus ga lama sinar matahari mulai muncul... Wahh keren bingits dah pokok nya.... Kesini kuliner sambil menikmati suasana telaga yg sejuk... Lalu naik speed boat, tak lupa jeprett2 dunk yahh... Hahaa... 😍",5,04/05/2023 00:01:14,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNRMmFXeVh3EAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICQ2aWyXw%7CCgsIyvSyoQYQiIjVcg%7C?hl=id
Nur Ikhsan Maulidani,rame kalo liburan,5,04/04/2023 09:00:54,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSMGFLT3lRRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICR0aKOyQE%7CCgsIxs6voQYQgMW9YQ%7C?hl=id
Anata Jaya,"Tempat liburan yg sangat bagus,pemandangan indah,hawanya dingin.cuman penginapan disekitar telaga sarangan perlu diperbanyak",5,04/04/2023 04:40:40,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSa2R6ZVVBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRkdzeUA%7CCgsIyNSuoQYQkJindg%7C?hl=id
