,review_text,Sentiment
0,cool weather shopping for vegetables is still fresh and cheap culinary delicious rabbit satay,Positif
1,the lake is clean with beautiful views  the price is the same and affordable  the parking lot is quite far from the lake  there is a tour around the lake by boat ,Positif
2,in,Netral
3,road access to a good location  the area is cold  it rains for a while  the entrance fee is rp  and horses,Positif
4,one of the tourist destinations in the magetan area  east java  suasaya is cool  the first impression is normal  the impression changes when you get down near the lake  the view is really beautiful  if you come here  try to take a speed boat  many offer services here  keep vegetables clean,Positif
5,rabbit eat papaya your smile makes me helpless nest left promise,Positif
6,in,Netral
7,in,Netral
8,very satisfying and pleasing to the eye,Positif
9,i ve been here a few times  the scenery is pretty cool  i ve also been stuck in the rain here  so i m stuck in a shop on the outskirts hahaa  but the original view is really good  cool lake then take a speed boat  don t forget to take a dunk  yeah hahaa,Positif
10,busy on vacation,Positif
11,a very good vacation spot  beautiful scenery  cold weather  but lodging around the sarangan lake needs to be increased,Positif
12,in,Netral
13,translated by google suejukk original suwejukk,Positif
14,in,Netral
15,in,Netral
16,natural scenery that is very beautiful and still naturally cool is perfect for a vacation spot,Positif
17,cool place to refresh the brain,Positif
18,cold  cool  there are rides on horseback and speed boat  the scenery is amazing,Positif
19,in,Netral
20,the way to get there is less cargo if you want to come here,Negatif
21,beautiful and cool place,Positif
22,cool fresh air,Positif
23,in,Netral
24,in,Netral
25,in,Netral
26,sarangan lake  also known as sand lake  is a natural lake located at an altitude of meters above sea level and is located on the slopes of mount lawu  plaosan district  magetan regency  east java  this lake is about   kilometers west of magetan city  those who live in caruban don t know why when i go to sarangan it feels really empty hehehe,Positif
27,in,Netral
28,in,Netral
29,it s nice and clean too  it s a shame i didn t bring jogging shoes here  even though it s nice to jog around the sarangan lake,Positif
30,in,Netral
31,the view is cool  the atmosphere is cool  the environment is friendly  safe  peaceful  cool  recommended pol,Positif
32,in,Netral
33,in,Netral
34,views from different angles are always cool,Positif
35,in,Netral
36,from semarang  the motorbike was quite reckless  but it paid off when we arrived at the lake  the people there were friendly and kind to offers to stay,Positif
37,beautiful view,Positif
38,in,Netral
39,nice clean place,Positif
40,in,Netral
41,in,Netral
42,tourist attractions for the second time visiting here  a tour located in the magetan district  east java with access to the road going up the mountain turning  presented with natural views in the form of mountains  villas  hotels  food stalls  strawberry gardens  fir tree gardens and terraced rice fields  leaving early in the morning is preferred because it is free without having to pay for an entrance ticket  the area around the lake has many buildings  especially stalls selling and lodging  there is also a prayer room and public bathrooms  the cold temperature is above average  depending on the season  and there is a view of the mountain hills surrounding the lake  this place is suitable for releasing fatigue and boredom from the busy daily life ,Positif
43,in,Netral
44,in,Netral
45,enjoy the view of the nest of the lake in the afternoon with cool weather try to take a speed boat for x rounds at a cost of rb very worth to try,Positif
46,legendary recreation area in magetan city,Positif
47,quite cold temperature,Negatif
48,the place is nice and beautiful  the view leading to the sarangan area is also very fun with an interesting height  the thick fog is also cool and scary  it s just that getting there when it s drizzling  even though riding a boat or horse is very fun and cheap  only one thousand thousand a round  lots of cheap sales too to be enjoyed,Positif
49,affordable picnic spots  lots of fresh vegetables and plants  try taking a speed boat and getting your earrings pumped ,Positif
50,it s too bad too many stalls spoil the natural scenery  the roads are narrow  dirty  the lake is a lot of rubbish hanging on the shores and the worst thing is that lots of new inn brokers have come  forced to make lodging bookings offered by forcing the district administration to return the nesting atmosphere to the way it used to be,Negatif
51,in,Netral
52,walking here the net is obviously very challenging  yes  it goes up and down  so make sure the vehicle is in prime condition  but don t worry  the road is smooth and the view is wide  it s also amazing that the weekend is very crowded  yes  at sarangan lake  you can take a speedboat with the rate k  ride a horse  lots of sales  starting from plants clothes  sandals  etc  because there are lots of horses  so at some point there are some that smell bad  so i suggest if you take a speedboat  it s better to fix it right away  if you want or or round and pay in advance and because there s a hotel that s right next to the lake  you have to access the road too sharing for cars  pedestrians  motorbikes and horses  maybe those who are interested in healing can come here on weekdays,Positif
53,good for relaxing,Positif
54,in,Netral
55,htm adults  rb children  rb cars and motorcycles  can enter to the edge of the lake  free parking along the lake  there are stalls  so by the inn  the villa  toilet and prayer room also have a lot of money  so don t waste your money on horseback rides  rb once round the boat  rb turn  rb turn  it s good for refreshing because the air is cool masl,Positif
56,exclaimed the speedboat,Netral
57,the weather is cold here addicted to speedboat rides,Negatif
58,don t want to go up and down odong odong,Negatif
59,cool poull it s exciting to have a picnic with the family to come here by jet  it s really exciting,Positif
60,in,Netral
61,in,Netral
62,it s cool to relax and dating it s cool to relax with your family only if you can suggest a hotel guest car it s better to park it outside the tourist site so that pedestrians can be safer and more comfortable the hotel should provide special transportation to pick up guests outside the parking lot,Positif
63,in,Netral
64,after dawn try walking around the lake the air is really fresh then don t forget to take a speed boat,Positif
65,very beautiful scenery in the lake nest,Positif
66,in,Netral
67,nice view  lucky if you get a foggy moment  the aura is thick and of course there are many selling rabbit satay per portion  using rice cake  fruit vegetables and live plants  it s good  just when you come here  buy strawberries  it turns out that there are rotten ones tucked inside  huhu  here all the culinary items are available  there are also left to be prepared the money  if you re good at bargaining  you can get cheap prices  especially if you speak javanese  you re smart  boso jowo,Positif
68,in,Netral
69,the lake is nice and cold especially when you add to it eating rabbit satay it s really really good,Positif
70,the stunning atmosphere  the vast expanse of the lake water  the mist that surrounds the natural surroundings  further adds to the beauty of this lake  the winding road adds a sense of adventure to the famous sarangan lake  magetan in east java  again there  o serangan  let s go,Positif
71,in,Netral
72,in,Netral
73,one of the favorite tourist destinations when on vacation the place is cool and beautiful,Positif
74,suitable for chilling,Positif
75,in,Netral
76,the road is steady here the car must be healthy,Positif
77,one of the tourist attractions in magetan which is quite famous indeed if you come here you have to make an effort when the weather is favorable because if you are from the west you will pass the road going up which is very foggy if the weather doesn t support the fog from around the tawangmangu area to sarangan lake   motorbike trips are the most exciting and cool when the weather it s foggy especially before passing tawangmangu wonderpark where the road isn t too wide and there are lots of cargo vehicles in the sarangan lake when there happens to be a weekday so it s pretty quiet and the motorbike can get to the place it s cool  good seasoning in my opinion   those who are there can take a speedboat rb x rounds or rb x rounds you can also ride a horse rb x rounds in my opinion one round this lake is long enough so you won t be impressed for a while if you ride a horse there are many inns around the lake     the entrance ticket price is   people  not including parking  just try it on weekdays because it s quieter and motorbikes can go inside because it s not crowded   access from jogja  i think it s quite easy to follow with google maps  to tawangmangu to the location i can say the road from the west route is quite good   the place is clean on weekdays there is quite comfortable to just take photos or enjoy the atmosphere of the lake   be careful from morning to evening the monkeys often come down to look for food even though they are said to be not dangerous but take care of your belongings because sometimes they can be stolen,Positif
78,my intention was to go to serangan  uh  the fog was thick  okay  fortunately  when i entered  it was free again  because the ticket counter was empty  maybe because of the fog  but when i saw the ticket prices  which were thousands of people  in my opinion  it was really expensive  not to mention the depot  so those around sarangan soto  thousand  that s okay  this is still i tolerate it because the soto is delicious  the thousand roasted corn is still understandable because you don t come here every day  right  for sure  if you want to go to serangan  make sure to check the weather first so you don t regret it,Positif
79,in,Netral
80,arrived when it was cloudy so it wasn t optimal,Netral
81,it s good to visit a restaurant near the inn lake  nothing tastes good,Positif
