,author,review_text,review_rating,datetime,review_link,text_tokens,text_token_filtered,review_stemmed
0,Kartika Saridewi,cuaca sejuk belanja sayuran masih segar dan murah kuliner sate kelinci yang enak,5,04/15/2023 14:52:12,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSa0p5bDBnRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDRkJyl0gE%7CCgwInPTqoQYQ2JeDsQM%7C?hl=id,"['cuaca', 'sejuk', 'belanja', 'sayuran', 'masih', 'segar', 'dan', 'murah', 'kuliner', 'sate', 'kelinci', 'yang', 'enak']","['cuaca', 'sejuk', 'belanja', 'sayuran', 'segar', 'murah', 'kuliner', 'sate', 'kelinci', 'enak']",cuaca sejuk belanja sayur segar murah kuliner sate kelinci enak
1,Yohana Ratnasari,danaunya bersih dengan pemandangan indah harga makanya rata rata sama dan terjangkau tempat parkir rada jauh dari danau ada wisata keliling danau dengan boat ada harga patokannya tiket masuk telaga per orang ribu,4,04/15/2023 08:02:07,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSb0xIenBnRRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgIDRoLHzpgE%7CCgwI_7PpoQYQsOyDhAM%7C?hl=id,"['danaunya', 'bersih', 'dengan', 'pemandangan', 'indah', 'harga', 'makanya', 'rata', 'rata', 'sama', 'dan', 'terjangkau', 'tempat', 'parkir', 'rada', 'jauh', 'dari', 'danau', 'ada', 'wisata', 'keliling', 'danau', 'dengan', 'boat', 'ada', 'harga', 'patokannya', 'tiket', 'masuk', 'telaga', 'per', 'orang', 'ribu']","['danaunya', 'bersih', 'pemandangan', 'indah', 'harga', 'terjangkau', 'parkir', 'rada', 'danau', 'wisata', 'keliling', 'danau', 'boat', 'harga', 'patokannya', 'tiket', 'masuk', 'telaga', 'orang', 'ribu']",danau bersih pandang indah harga jangkau parkir rada danau wisata keliling danau boat harga patok tiket masuk telaga orang ribu
2,Andry Saputro,,5,04/12/2023 20:55:27,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSMTdfTkV3EAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICR17_NEw%7CCgwIv7XcoQYQ4JaotwM%7C?hl=id,[],[],
3,Rizky Dwi Laras,akses jalan menuju lokasi bagus daerahnya dingin hujan sebentar² tarif masuk rb org dapat minuman kalbe c sudah include parkir mobil tempat parkir cukup banyak tersebar di beberapa titik banyak penjual oleh² untuk harga maka masih standar rb an juga ada rasa lumayan ada toilet umum ada penyewaan bebek²an boat dan kuda,5,04/11/2023 16:26:12,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN1dVBxX0tBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICuuPq_KA%7CCgwIpJTWoQYQ6IaW0QM%7C?hl=id,"['akses', 'jalan', 'menuju', 'lokasi', 'bagus', 'daerahnya', 'dingin', 'hujan', 'sebentar²', 'tarif', 'masuk', 'rb', 'org', 'dapat', 'minuman', 'kalbe', 'c', 'sudah', 'include', 'parkir', 'mobil', 'tempat', 'parkir', 'cukup', 'banyak', 'tersebar', 'di', 'beberapa', 'titik', 'banyak', 'penjual', 'oleh²', 'untuk', 'harga', 'maka', 'masih', 'standar', 'rb', 'an', 'juga', 'ada', 'rasa', 'lumayan', 'ada', 'toilet', 'umum', 'ada', 'penyewaan', 'bebek²an', 'boat', 'dan', 'kuda']","['akses', 'jalan', 'lokasi', 'bagus', 'daerahnya', 'dingin', 'hujan', 'sebentar²', 'tarif', 'masuk', 'rb', 'org', 'minuman', 'kalbe', 'c', 'include', 'parkir', 'mobil', 'parkir', 'tersebar', 'titik', 'penjual', 'oleh²', 'harga', 'standar', 'rb', 'an', 'lumayan', 'toilet', 'penyewaan', 'bebek²an', 'boat', 'kuda']",akses jalan lokasi bagus daerah dingin hujan sebentar tarif masuk rb org minum kalbe c include parkir mobil parkir sebar titik jual oleh harga standar rb an lumayan toilet sewa bebek an boat kuda
4,Imas Nur Astuti,salah satu destinasi wisata di daerah magetan jawa timur suasaya sejuk first impression awalnya biasa saja kesannya berubah ketika turun ke dekat telaga cantik banget viewnya kalau kesini cobain naik speed boat banyak yg menawarkan jasa disini pokok cobaain seru bgt klo kuliner khasnya sate kelinci banyak yg menjajakan sayur sayuran tetap jaga kebersihan ya,4,04/11/2023 04:18:37,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSNjVDTXF3RRAB!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICR65CMqwE%7CCgsInb_ToQYQgJaWEg%7C?hl=id,"['salah', 'satu', 'destinasi', 'wisata', 'di', 'daerah', 'magetan', 'jawa', 'timur', 'suasaya', 'sejuk', 'first', 'impression', 'awalnya', 'biasa', 'saja', 'kesannya', 'berubah', 'ketika', 'turun', 'ke', 'dekat', 'telaga', 'cantik', 'banget', 'viewnya', 'kalau', 'kesini', 'cobain', 'naik', 'speed', 'boat', 'banyak', 'yg', 'menawarkan', 'jasa', 'disini', 'pokok', 'cobaain', 'seru', 'bgt', 'klo', 'kuliner', 'khasnya', 'sate', 'kelinci', 'banyak', 'yg', 'menjajakan', 'sayur', 'sayuran', 'tetap', 'jaga', 'kebersihan', 'ya']","['salah', 'destinasi', 'wisata', 'daerah', 'magetan', 'jawa', 'timur', 'suasaya', 'sejuk', 'first', 'impression', 'kesannya', 'berubah', 'turun', 'telaga', 'cantik', 'banget', 'viewnya', 'kesini', 'cobain', 'speed', 'boat', 'yg', 'menawarkan', 'jasa', 'pokok', 'cobaain', 'seru', 'bgt', 'klo', 'kuliner', 'khasnya', 'sate', 'kelinci', 'yg', 'menjajakan', 'sayur', 'sayuran', 'jaga', 'kebersihan', 'ya']",salah destinasi wisata daerah magetan jawa timur suasaya sejuk first impression kesan ubah turun telaga cantik banget viewnya kesini cobain speed boat yg tawar jasa pokok cobaain seru bgt klo kuliner khas sate kelinci yg jaja sayur sayur jaga bersih ya
5,Arin Dhita,kelinci makan pepaya senyumanmu buatku tak berdaya sarangan ninggal janjii,5,04/10/2023 16:46:43,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSaV9tdFVBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRi_mtUA%7CCgwI8_rQoQYQsK2XsQI%7C?hl=id,"['kelinci', 'makan', 'pepaya', 'senyumanmu', 'buatku', 'tak', 'berdaya', 'sarangan', 'ninggal', 'janjii']","['kelinci', 'makan', 'pepaya', 'senyumanmu', 'buatku', 'berdaya', 'sarangan', 'ninggal', 'janjii']",kelinci makan pepaya senyum buat daya sarangan ninggal janji
6,Ahmad Elfath,,5,04/07/2023 23:48:51,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSemVQV0RBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRzePWDA%7CCgwI49fCoQYQ0PqNyAM%7C?hl=id,[],[],
7,vino putra,,5,04/06/2023 19:15:54,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSNWJheGN3EAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICR5baxcw%7CCgwI6rS8oQYQuJL4mAI%7C?hl=id,[],[],
8,Nurmalita Safitri,sangat memuaskan dan memanjakan mata,5,04/06/2023 12:14:37,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSeFlMcWNBEAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICRxYLqcA%7CCgwIre-6oQYQwMOI2AI%7C?hl=id,"['sangat', 'memuaskan', 'dan', 'memanjakan', 'mata']","['memuaskan', 'memanjakan', 'mata']",muas manja mata
9,Ulfi Lina Nikmatillah,udah beberapa kali kesini pemandangannya lumayan bikin ati adem pernah juga kejebak ujan disini jadi ngemper d ruko pinggiran dah hahaa tapi asli pemandangannya bagus bgt dah kalo abis ujan berkabut gitu terus ga lama sinar matahari mulai muncul wahh keren bingits dah pokok nya kesini kuliner sambil menikmati suasana telaga yg sejuk lalu naik speed boat tak lupa jeprett dunk yahh hahaa ,5,04/05/2023 00:01:14,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNRMmFXeVh3EAE!2m1!1s0x0:0x49bf06f3bb4505db!3m1!1s2@1:CIHM0ogKEICAgICQ2aWyXw%7CCgsIyvSyoQYQiIjVcg%7C?hl=id,"['udah', 'beberapa', 'kali', 'kesini', 'pemandangannya', 'lumayan', 'bikin', 'ati', 'adem', 'pernah', 'juga', 'kejebak', 'ujan', 'disini', 'jadi', 'ngemper', 'd', 'ruko', 'pinggiran', 'dah', 'hahaa', 'tapi', 'asli', 'pemandangannya', 'bagus', 'bgt', 'dah', 'kalo', 'abis', 'ujan', 'berkabut', 'gitu', 'terus', 'ga', 'lama', 'sinar', 'matahari', 'mulai', 'muncul', 'wahh', 'keren', 'bingits', 'dah', 'pokok', 'nya', 'kesini', 'kuliner', 'sambil', 'menikmati', 'suasana', 'telaga', 'yg', 'sejuk', 'lalu', 'naik', 'speed', 'boat', 'tak', 'lupa', 'jeprett', 'dunk', 'yahh', 'hahaa']","['udah', 'kali', 'kesini', 'pemandangannya', 'lumayan', 'bikin', 'ati', 'adem', 'kejebak', 'ujan', 'ngemper', 'd', 'ruko', 'pinggiran', 'dah', 'hahaa', 'asli', 'pemandangannya', 'bagus', 'bgt', 'dah', 'kalo', 'abis', 'ujan', 'berkabut', 'gitu', 'ga', 'sinar', 'matahari', 'muncul', 'wahh', 'keren', 'bingits', 'dah', 'pokok', 'nya', 'kesini', 'kuliner', 'menikmati', 'suasana', 'telaga', 'yg', 'sejuk', 'speed', 'boat', 'lupa', 'jeprett', 'dunk', 'yahh', 'hahaa']",udah kali kesini pandang lumayan bikin ati adem jebak ujan ngemper d ruko pinggir dah hahaa asli pandang bagus bgt dah kalo abis ujan kabut gitu ga sinar matahari muncul wahh keren bingits dah pokok nya kesini kuliner nikmat suasana telaga yg sejuk speed boat lupa jeprett dunk yahh hahaa
